Feature,Importance
age,0.1433101814944524
max_heart_rate,0.12576475880730958
resting_bp,0.10663320969782494
oldpeak,0.1004813183426449
num_major_vessels,0.09968350373271011
bmi,0.08493165241160101
stress_level,0.045422513293887135
diabetes,0.03900025224747287
exercise_angina,0.030073758421468134
physical_activity,0.024964205411461035
family_history,0.024872500437220054
smoking_status_Never,0.020613728652812576
fasting_blood_sugar,0.018922772659348736
thalassemia_Normal,0.015782886075605143
thalassemia_Reversible Defect,0.01198042967793677
chest_pain_type_Typical Angina,0.01196738534310248
gender_Male,0.01119788277533774
st_slope_Up,0.010826981084128754
alcohol_consumption_Non-drinker,0.009986300768271417
chest_pain_type_Non-anginal Pain,0.00984085210896703
chest_pain_type_Atypical Angina,0.009526329324032435
st_slope_Flat,0.00931062124151406
resting_ecg_Normal,0.009040376338387465
alcohol_consumption_Moderate,0.008937102876866674
resting_ecg_ST-T Abnormality,0.008590192571373192
smoking_status_Former,0.008338304204263517
